rating,long,place,address,lat,type
3.5,1.5342514,"

Exe Princep Hotel
","C/ de la Unio, 5, Escaldes-Engordany AD700, Andorra ",42.5081263,hotel
3.5,1.7315825,"

Alaska Aparthotel
","Carrer de la Solana 4, Pas de la Casa AD200, Andorra ",42.5425666,hotel
3.5,1.5384347,"

Tulip Inn Andorra Delfos Hotel
","Avd del Fener 17, Escaldes-Engordany AD700, Andorra ",42.5081173,hotel
3.0,1.7309835,"

Hotel Reial Pirineus
","Calle de la Solana 64-66, Pas de la Casa AD200, Andorra ",42.5423862,hotel
3.5,1.533196,"

Hotel Les 7 Claus
","Av. Fiter i Rossell 49, Escaldes-Engordany AD700, Andorra ",42.5137555,hotel
3.0,1.5416455,"

Panorama Hotel
","Carretera de l'Obach s/n, Escaldes-Engordany AD700, Andorra ",42.5079192,hotel
3.0,1.7334066,"

Hotel Panda
","Avda del Consell General 11, Pas de la Casa AD200, Andorra ",42.543386,hotel
3.0,1.5133106,"

President Hotel
","Av Santa Coloma 42 - 44, Andorra la Vella AD200, Andorra ",42.5031743,hotel
3.0,1.5408226,"

Hotel & Aparthotel Cosmos
","Av. De les Escoles 10, Escaldes-Engordany AD700, Andorra ",42.5094337,hotel
3.5,1.4888171,"

Xalet Besoli
","Carretera Escladella s/n, Arinsal AD400, Andorra ",42.5691424,hotel
3.5,1.4755676,"

Hotel Sol-Park
","Carretera de Fontaneda, Sant Julia de Loria AD600, Andorra ",42.4574121,hotel
3.5,,"

Niunit Hotel
","Carretera General 1 s/n, El Serrat AD 300, Andorra ",,hotel
3.0,1.5202752,"

Andorra Center
","Dr. Nequi 12, Andorra la Vella AD500, Andorra ",42.5076577,hotel
4.5,,"

Grandvalira Ski Resort
","Address: Av. Carlemany 68 | Illa Carlemany Offices, Bureau 401, Andorra la Vella AD700, Andorra ",,attraction
5.0,,"

Lagos de Tristania
","Address: El Serrat, Andorra ",,attraction
4.5,1.4818459,"

Tristaina Lake Trail
","Address: La Coma | Nr. Vallnort Ski Resort, Arcalis, Arinsal, Andorra ",42.5748011,attraction
4.5,1.6660487,"

Soldeu el Tarter
","Address: Soldeu, Andorra ",42.577791,attraction
4.0,1.4818459,"

Vallnord Ski Area, Sector Arinsal
","Address: Av. Traves, 2 - Edf Casa Casa Ferre 10, Arinsal AD400, Andorra ",42.5748011,attraction
4.5,,"

Valle de Incles
","Address: Incles, Andorra ",,attraction
4.5,1.5218355,"

Casa de la Vall
","Address: Carrer de la Vall s/n, Andorra la Vella AD500, Andorra ",42.5063174,attraction
4.5,1.577922,"

National Automobile Museum
","Address: Av. de Joan Marti, 64, Encamp AD200, Andorra ",42.5330329,attraction
4.5,1.6660487,"

Soldeu Ski School
","Address: Main Street, Soldeu, Andorra ",42.577791,attraction
4.0,1.4921277,"

Tobotronc
","Address: Sant Julia de Loria, AD600, Andorra ",42.4657861,attraction
